Id,Location_Depot,Name_Depot,Width,Height,Length,Type
4b4a2703-45f7-411a-ab92-814104e239a5,343,Depot_343,1,3,1,NOTSPECIFY
d853b452-a206-4b01-aec0-8e89512c297d,20,Depot_20,2,1,1,FLAMMABLE
8135a3c3-4975-46ca-9024-58498ccd13d0,171,Depot_171,2,3,1,EXPLOSIVE
40b62cbe-6ec0-43a6-a7a3-4835c77ece82,331,Depot_331,2,1,1,FLAMMABLE
7a463c71-03ad-4ace-b7a4-28a09741cc6d,108,Depot_108,2,6,2,EXPLOSIVE
08f8ad0f-c1a7-462f-b870-7d6232f146a1,484,Depot_484,1,3,2,FLAMMABLE
21050ab2-93d1-43e3-b030-8d7cd957f592,335,Depot_335,1,5,2,TOXIC
4a991ee4-4b83-4352-a70e-1fc88ceff3ac,135,Depot_135,2,7,1,ALIMENTAL
26c3d593-29ff-4cc1-b0a0-55b691556fff,42,Depot_42,3,2,0,FLAMMABLE
7f94dfe1-6496-4ebb-a3d4-5d850f47f4f7,365,Depot_365,2,3,1,FRAGILE
0d4d6ce9-05a1-42e2-b361-81615c02c48d,48,Depot_48,2,3,2,OXIDIZING
590ded7b-be5f-4b76-b91e-862fe7d7fba6,442,Depot_442,1,6,0,TOXIC
f7e12f53-bbe0-4b5e-b92c-0735e5a3686d,34,Depot_34,1,6,1,TOXIC
e015cf59-80bf-439a-b1b6-1667fc09b2d6,92,Depot_92,2,3,2,FRAGILE
a9080fa2-52a8-4ee1-8979-2098829302fd,450,Depot_450,3,4,2,FLAMMABLE
2b570700-ff7f-4e98-b7b1-65aa9f539ea1,381,Depot_381,3,5,2,FLAMMABLE
29ba983e-83b9-438b-972a-05bc9837d6bc,345,Depot_345,2,2,2,FRAGILE
911c4dc9-3f93-4680-9f1f-49ebe65f38f5,317,Depot_317,1,5,2,FRAGILE
69c7b4af-fc3e-4225-9386-89ff2e478e2b,147,Depot_147,3,7,0,FLAMMABLE
ff6fd2d8-258b-4b49-a8e7-fe1b054d1038,2,Depot_2,2,7,1,ALIMENTAL
611eba43-14ff-412a-9ff1-adc8a3d15f90,194,Depot_194,3,6,0,EXPLOSIVE
1c86dbb8-2013-4b7a-95bb-a7fe45262f9b,210,Depot_210,2,3,1,TOXIC
e19b0923-02cc-46ff-99d0-c6e0701ec224,179,Depot_179,1,6,0,ALIMENTAL
772c8c5b-e4f0-469e-96fb-7e2e09f1d472,239,Depot_239,3,2,1,OXIDIZING
57aea141-86a4-48d3-b46e-a4268e5612e3,100,Depot_100,1,5,2,EXPLOSIVE
